@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
3041,'2017/05/31 10:25:59:441',12,461,-1.599049,1
3042,'2017/05/31 10:25:59:460',12,461,-1.621835,1
3043,'2017/05/31 10:25:59:460',12,461,-1.64455,1
3044,'2017/05/31 10:25:59:469',12,461,-1.646688,1
3045,'2017/05/31 10:25:59:485',12,461,-1.648819,1
3046,'2017/05/31 10:25:59:489',12,461,-1.650943,1
3047,'2017/05/31 10:25:59:499',12,461,-1.653061,1
3048,'2017/05/31 10:25:59:512',12,461,-1.655172,1
3049,'2017/05/31 10:25:59:519',12,461,-1.647887,1
3050,'2017/05/31 10:25:59:529',12,461,-1.640625,1
3051,'2017/05/31 10:25:59:539',12,464,-1.664587,1
3052,'2017/05/31 10:25:59:549',12,464,-1.688473,1
3053,'2017/05/31 10:25:59:559',12,464,-1.707621,1
3054,'2017/05/31 10:25:59:574',12,464,-1.726708,1
3055,'2017/05/31 10:25:59:581',12,464,-1.745736,1
3056,'2017/05/31 10:25:59:601',12,471,-1.733746,1
3057,'2017/05/31 10:25:59:601',12,471,-1.721793,1
3058,'2017/05/31 10:25:59:609',12,471,-1.699074,1
3059,'2017/05/31 10:25:59:644',12,471,-1.676425,1
3060,'2017/05/31 10:25:59:644',12,471,-1.653846,1
3061,'2017/05/31 10:25:59:644',12,471,-1.612903,1
3062,'2017/05/31 10:25:59:659',12,471,-1.572086,1
3063,'2017/05/31 10:25:59:659',12,471,-1.531394,1
3064,'2017/05/31 10:25:59:673',12,471,-1.495413,1
3065,'2017/05/31 10:25:59:679',12,471,-1.459542,1
3066,'2017/05/31 10:25:59:691',12,474,-1.442073,1
3067,'2017/05/31 10:25:59:699',12,474,-1.424658,1
3068,'2017/05/31 10:25:59:718',12,474,-1.402736,1
3069,'2017/05/31 10:25:59:720',12,474,-1.396055,1
3070,'2017/05/31 10:25:59:729',12,474,-1.389394,1
3071,'2017/05/31 10:25:59:740',12,474,-1.400908,1
3072,'2017/05/31 10:25:59:751',12,474,-1.412387,1
3073,'2017/05/31 10:25:59:759',12,474,-1.423831,1
3074,'2017/05/31 10:25:59:769',12,474,-1.430723,1
3075,'2017/05/31 10:25:59:794',12,474,-1.437594,1
3076,'2017/05/31 10:25:59:794',12,471,-1.474474,1
3077,'2017/05/31 10:25:59:809',12,471,-1.511244,1
3078,'2017/05/31 10:25:59:809',12,471,-1.552395,1
3079,'2017/05/31 10:25:59:843',12,471,-1.587444,1
3080,'2017/05/31 10:25:59:843',12,471,-1.622388,1
3081,'2017/05/31 10:25:59:843',12,471,-1.609538,1
